0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,class
31.03,5.8,264050000,34.62,52820000,1104300,19.8,-0.2,110871031,17.5,0.3275,3.465555556,3.6,100.3993761,5.66122723,22328,20.8,0
36.96,6.78,6850000,45.98,1677000,111369,18,-2.82,5214030,2.8,0.264,5.002,8.6,46.81760634,11.42816257,2483,51.2,0
42.22,8.24,203710000,60.58,12510000,1246700,15.9,-0.2,33642646,6.6,1.1675,7.2484,6.766666667,26.98535815,36.73722076,20162,65.5,0
15.85,5.4,239420000,19.42,13273000,447400,30.1,-1.86,30842796,5,28.75833333,111.132,15.3,68.93785427,31.40143394,16337,50.5,0
29.08,6.3,164840000,33.33,12490000,238533,21.4,-0.17,32372889,11.9,1.02,19.244,9.6,135.7166052,30.30209732,16517,56.1,0
29.22,6.09,41820000,39.82,13400000,587041,20.3,0,27534354,1.8,1.657692308,2.536666667,4.466666667,46.90363024,7.87874842,9767,37.2,0
16.71,5.16,34980000,19.57,3046000,130370,27.3,-2.27,6243931,6.4,7.995333333,13.07214286,21.7,47.89392498,103.9360046,3678,58.5,0
41.6,8.77,44890000,62.31,6447000,1240192,16,-3.17,20137527,7.9,1.04625,3.881111111,7.133333333,16.23742695,9.86327934,8093,42.4,0
35.86,8.28,35080000,50.99,5558000,245857,19.1,0,12877894,2.7,0.952,3.7425,6.6,52.37961091,6.29944324,4717,36.1,0
32.34,5.39,17450000,42.64,2595000,56785,20,-1.86,8283189,6.9,0.6025,3.73,7.066666667,145.8693141,7.12986135,3332,41.7,0
33.2,12.01,4483000,84.22,2242000,622984,20,-3.28,5357984,6.9,0.61,2.354,6.266666667,8.600516225,3.36062503,1960,41.4,0
35.04,9.7,13150000,65.34,132000,71740,19.1,-0.96,6807277,15,0.334,6.058,7.5,94.8881656,8.33168507,3247,42.1,0
34.34,7.92,45160000,50.71,8501000,274200,17.9,-0.62,21382659,77,0.580769231,5.813333333,4.5,77.98198031,17.10899734,5799,29.4,0
34.38,8.89,1013530000,58.23,60080000,923768,18.6,-0.21,219463862,16.5,3.6,13.88363636,7.8,237.5746529,12.45123196,98611,50.3,0
21.22,5.78,34880000,33.05,2295000,144100,25.3,-1.05,8990874,2.4,20.1716,44.7656,12.53333333,62.39329632,16.18490219,2471,27.1,0
27.41,6.79,9702000,42.39,2710000,117600,20.3,-10.84,6147398,5.8,0.79,12.65571429,4.066666667,52.27379252,3.70365119,2079,40.1,0
41.55,8.21,40290000,57.23,3662000,112622,17,0.25,13301694,1,0.582857143,5.731111111,8.2,118.1091971,6.09126854,5434,47.3,0
47.28,10.09,28970000,68.12,6500000,1267000,14.8,-0.66,23605767,0.3,0.365,2.23125,4.733333333,18.63122889,10.07909298,3665,16.4,0
12.83,6.91,215600000,3.5,2709000,268838,37.2,6.89,4991442,4.13,25.83210526,108.441,31.96666667,18.56672792,3021.2771,4110,86.5,0
11.3,8.26,23009780000,11.15,774710000,9596960,38.4,-0.43,1397897720,3.64,13.65958333,13.94866667,6.633333333,145.6604716,282.6797791,837022,59.2,0
16.17,6.28,8420000,35.99,397900,38394,29.1,0,857423,3.2,3.269090909,13.12909091,5.9,22.33221337,81.72798157,334,40.9,0
